bacteria,huth,huth_abundance,total_sample_depth,relative_abundance,analysis,sample
Firmicutes,hutH,342.8,99994599.39999998,3.4281851425668105e-06,MGYA00721508,ERZ650890
Bifidobacteriales,hutH,143.3,99994599.39999998,1.4330773947777828e-06,MGYA00721508,ERZ650890
Firmicutes,hutH,97.4,99994599.39999998,9.74052604684969e-07,MGYA00721508,ERZ650890
Porphyromonadaceae,hutH,339.0,99994599.39999998,3.3901830902279717e-06,MGYA00721508,ERZ650890
unclassified Burkholderiales,hutH,246.9,60159238.8,4.104107780033946e-06,MGYA00721516,ERZ650889
Firmicutes,hutH,363.2,60159238.8,6.037310432192503e-06,MGYA00721516,ERZ650889
Rikenellaceae,hutH,85.9,60159238.8,1.4278771093759253e-06,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,172.9,60159238.8,2.874039024576222e-06,MGYA00721516,ERZ650889
Rikenellaceae,hutH,452.6,60159238.8,7.5233664691914295e-06,MGYA00721516,ERZ650889
Bacteroidia,hutH,484.6,60159238.8,8.055288093173148e-06,MGYA00721516,ERZ650889
Porphyromonadaceae,hutH,945.3,60159238.8,1.5713297223434948e-05,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,1004.2,60159238.8,1.66923654625763e-05,MGYA00721516,ERZ650889
Bacteroidaceae,hutH1,250.8,60159238.8,4.1689357279567175e-06,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,984.2,60159238.8,1.6359914447587728e-05,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,1035.8,60159238.8,1.7217638066258244e-05,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,981.9,60159238.8,1.632168258086404e-05,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,981.9,60159238.8,1.632168258086404e-05,MGYA00721516,ERZ650889
Rikenellaceae,hutH,976.5,60159238.8,1.6231920806817125e-05,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,987.6,60159238.8,1.6416431120135783e-05,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,987.3,60159238.8,1.6411444354910952e-05,MGYA00721516,ERZ650889
Porphyromonadaceae,hutH,979.2,60159238.8,1.6276801693840583e-05,MGYA00721516,ERZ650889
Bacteria,hutH,382.1,60159238.8,6.351476641356706e-06,MGYA00721516,ERZ650889
unclassified Burkholderiales,hutH,146.7,60159238.8,2.43852819494119e-06,MGYA00721516,ERZ650889
unclassified Burkholderiales,hutH,667.9,60159238.8,1.1102201645543428e-05,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,981.1,60159238.8,1.6308384540264496e-05,MGYA00721516,ERZ650889
unclassified Burkholderiales,hutH,139.4,60159238.8,2.3171835744703607e-06,MGYA00721516,ERZ650889
Bacteria,hutH,616.7,60159238.8,1.0251127047172679e-05,MGYA00721516,ERZ650889
Betaproteobacteria,hutH,875.9,60159238.8,1.4559692201424596e-05,MGYA00721516,ERZ650889
Bacteroidia,hutH,323.6,60159238.8,5.379057422515127e-06,MGYA00721516,ERZ650889
Bacteroidaceae,hutH,976.9,95721864.4,1.020560982721519e-05,MGYA00721520,ERZ650930
Sutterellaceae,hutH,463.4,95721864.4,4.841109216840536e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,786.6,95721864.4,8.217558286505753e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,240.4,95721864.4,2.5114429342435583e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,154.1,95721864.4,1.6098725298125303e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,709.1,95721864.4,7.407920901298283e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,151.0,95721864.4,1.5774870344042316e-06,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,176.8,95721864.4,1.847017931673299e-06,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,716.8,95721864.4,7.488362293118895e-06,MGYA00721520,ERZ650930
Oscillospiraceae,hutH,686.4,95721864.4,7.170775499437513e-06,MGYA00721520,ERZ650930
Bacteroidia,hutH,695.7,95721864.4,7.267931985662411e-06,MGYA00721520,ERZ650930
Rikenellaceae,hutH,714.5,95721864.4,7.464334344912738e-06,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,167.2,95721864.4,1.7467273652475994e-06,MGYA00721520,ERZ650930
Synergistetes,hutH,285.4,95721864.4,2.9815549643640243e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,615.9,95721864.4,6.434266652248783e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,164.5,95721864.4,1.7185206434403715e-06,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,213.0,95721864.4,2.2251969425702074e-06,MGYA00721520,ERZ650930
Rikenellaceae,hutH,698.7,95721864.4,7.299272787670441e-06,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,983.0,95721864.4,1.026933612463152e-05,MGYA00721520,ERZ650930
Clostridiales incertae sedis,hutH,636.3,95721864.4,6.647384105903394e-06,MGYA00721520,ERZ650930
Bacteroidia,hutH,707.6,95721864.4,7.392250500294267e-06,MGYA00721520,ERZ650930
Rikenellaceae,hutH,976.5,95721864.4,1.020143105361412e-05,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,984.2,95721864.4,1.0281872445434734e-05,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,1042.3,95721864.4,1.0888839310990269e-05,MGYA00721520,ERZ650930
Bacteroidia,hutH,961.1,95721864.4,1.0040548269972895e-05,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,986.1,95721864.4,1.0301721620039819e-05,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,989.2,95721864.4,1.0334107115448118e-05,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,929.1,95721864.4,9.70624638188723e-06,MGYA00721520,ERZ650930
Oscillospiraceae,hutH,820.1,95721864.4,8.567530575595433e-06,MGYA00721520,ERZ650930
Rikenellaceae,hutH,689.9,95721864.4,7.207339768446883e-06,MGYA00721520,ERZ650930
Oscillospiraceae,hutH,1012.3,95721864.4,1.0575431290909958e-05,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,578.6,95721864.4,6.04459601394893e-06,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,948.0,95721864.4,9.903693434537825e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,628.6,95721864.4,6.566942714082782e-06,MGYA00721520,ERZ650930
Rikenellaceae,hutH,247.7,95721864.4,2.5877055524631005e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,239.2,95721864.4,2.4989066134403454e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,439.1,95721864.4,4.587248720575484e-06,MGYA00721520,ERZ650930
Porphyromonadaceae,hutH,313.5,95721864.4,3.275113809839249e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,399.1,95721864.4,4.169371360468403e-06,MGYA00721520,ERZ650930
Bacteroidaceae,hutH,284.6,95721864.4,2.9731974171618833e-06,MGYA00721520,ERZ650930
Rikenellaceae,hutH,283.9,95721864.4,2.9658845633600088e-06,MGYA00721520,ERZ650930
Synergistetes,hutH,424.1,87065858.39999999,4.871025311110929e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,476.1,87065858.39999999,5.468274347134905e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,160.6,87065858.39999999,1.8445806766432801e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,326.6,87065858.39999999,3.7511833685659734e-06,MGYA00721526,ERZ650893
Synergistetes,hutH1,652.5,87065858.39999999,7.494326846262393e-06,MGYA00721526,ERZ650893
Synergistetes,hutH1,728.0,87065858.39999999,8.361486504335666e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,416.0,87065858.39999999,4.777992288191809e-06,MGYA00721526,ERZ650893
Porphyromonadaceae,hutH,359.4,87065858.39999999,4.127909683596481e-06,MGYA00721526,ERZ650893
Bacilli,hutH,696.8,87065858.39999999,8.00313708272128e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,627.5,87065858.39999999,7.207187886635481e-06,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,174.1,87065858.39999999,1.9996357148418123e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,193.0,87065858.39999999,2.2167127683197575e-06,MGYA00721526,ERZ650893
Eubacteriaceae,hutH,461.8,87065858.39999999,5.304030862228312e-06,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,791.6,87065858.39999999,9.09196801762653e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,157.5,87065858.39999999,1.8089754456495431e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,542.0,87065858.39999999,6.225172644711444e-06,MGYA00721526,ERZ650893
Synergistetes,hutH1,205.7,87065858.39999999,2.3625793598102288e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,188.0,87065858.39999999,2.159284976394375e-06,MGYA00721526,ERZ650893
Bacteria,hutH,227.3,87065858.39999999,2.6106674209278804e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,524.6,87065858.39999999,6.025323928811113e-06,MGYA00721526,ERZ650893
Synergistetes,hutH1,306.6,87065858.39999999,3.521472200864444e-06,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,122.1,87065858.39999999,1.4023866788178362e-06,MGYA00721526,ERZ650893
Synergistetes,hutH1,511.9,87065858.39999999,5.879457337320642e-06,MGYA00721526,ERZ650893
Synergistetes,hutH1,74.3,87065858.39999999,8.533769880111813e-07,MGYA00721526,ERZ650893
Citrobacter,hutH,139.4,87065858.39999999,1.601086838879659e-06,MGYA00721526,ERZ650893
Oscillospiraceae,hutH,825.9,87065858.39999999,9.485922670234652e-06,MGYA00721526,ERZ650893
Rikenellaceae,hutH,976.5,87065858.39999999,1.1215647763027167e-05,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,1043.9,87065858.39999999,1.1989774398181322e-05,MGYA00721526,ERZ650893
Clostridiales incertae sedis,hutH,636.3,87065858.39999999,7.3082608004241535e-06,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,983.0,87065858.39999999,1.1290303892530164e-05,MGYA00721526,ERZ650893
Porphyromonadaceae,hutH,984.2,87065858.39999999,1.1304086562592257e-05,MGYA00721526,ERZ650893
Oscillospiraceae,hutH,979.9,87065858.39999999,1.1254698661536427e-05,MGYA00721526,ERZ650893
Clostridiaceae,hutH,746.1,87065858.39999999,8.56937511110555e-06,MGYA00721526,ERZ650893
Eubacteriaceae,hutH,634.8,87065858.39999999,7.291032462846539e-06,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,1026.5,87065858.39999999,1.178992568228099e-05,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,988.0,87065858.39999999,1.1347731684455547e-05,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,984.2,87065858.39999999,1.1304086562592257e-05,MGYA00721526,ERZ650893
Bacteroidia,hutH,977.6,87065858.39999999,1.1228281877250751e-05,MGYA00721526,ERZ650893
Porphyromonadaceae,hutH,316.2,87065858.39999999,3.631733561361178e-06,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,271.6,87065858.39999999,3.119477657386768e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,125.9,87065858.39999999,1.4460318006811269e-06,MGYA00721526,ERZ650893
Synergistetes,hutH,253.1,87065858.39999999,2.9069948272628532e-06,MGYA00721526,ERZ650893
Bacteroidaceae,hutH,307.8,87065858.39999999,3.5352548709265357e-06,MGYA00721526,ERZ650893
Blautia,hutH,392.9,50611342.0,7.763082038014325e-06,MGYA00721539,ERZ650888
Clostridia,hutH,359.0,50611342.0,7.093271701825255e-06,MGYA00721539,ERZ650888
Fusobacteria,hutH,367.9,50611342.0,7.269121613096131e-06,MGYA00721539,ERZ650888
Clostridia,hutH_2,322.8,50611342.0,6.378017006543711e-06,MGYA00721539,ERZ650888
Clostridia,hutH,88.2,50611342.0,1.7426923791113857e-06,MGYA00721539,ERZ650888
Bacteria,hutH,92.8,50611342.0,1.8335810972963333e-06,MGYA00721539,ERZ650888
Bacteroidaceae,hutH,1042.0,50611342.0,2.0588270510590294e-05,MGYA00721539,ERZ650888
Porphyromonadaceae,hutH,984.2,50611342.0,1.944623400817943e-05,MGYA00721539,ERZ650888
Bacteroidaceae,hutH,989.2,50611342.0,1.954502609316307e-05,MGYA00721539,ERZ650888
Bacteroidaceae,hutH,986.1,50611342.0,1.9483775000473213e-05,MGYA00721539,ERZ650888
Bacteria,hutH,825.5,50611342.0,1.631057323079874e-05,MGYA00721539,ERZ650888
unclassified Burkholderiales,hutH,969.5,50611342.0,1.9155785278327535e-05,MGYA00721539,ERZ650888
unclassified Burkholderiales,hutH,85.9,50611342.0,1.697248020018912e-06,MGYA00721539,ERZ650888
Bacilli,hutH,986.9,50611342.0,1.9499581734070597e-05,MGYA00721539,ERZ650888
Citrobacter,hutH,922.5,50611342.0,1.822713967948133e-05,MGYA00721539,ERZ650888
Betaproteobacteria,hutH,1046.2,50611342.0,2.067125586197655e-05,MGYA00721539,ERZ650888
Blautia,hutH,146.0,50611342.0,2.8847288815222485e-06,MGYA00721539,ERZ650888
Bifidobacteriales,hutH,223.4,50611342.0,4.414030357068975e-06,MGYA00721539,ERZ650888
Bifidobacteriales,hutH,629.8,50611342.0,1.2443851024539123e-05,MGYA00721539,ERZ650888
Clostridia,hutH,292.7,50611342.0,5.783288654942206e-06,MGYA00721539,ERZ650888
Clostridia,hutH,260.4,50611342.0,5.1450917859479e-06,MGYA00721539,ERZ650888
Blautia,hutH,613.2,50611342.0,1.2115861302393444e-05,MGYA00721539,ERZ650888
Gammaproteobacteria,hutH,460.7,50611342.0,9.102702710392464e-06,MGYA00721539,ERZ650888
Clostridia,hutH,107.5,50611342.0,2.124029827148231e-06,MGYA00721539,ERZ650888
Blautia,hutH,424.1,50611342.0,8.37954464831223e-06,MGYA00721539,ERZ650888
Clostridia,hutH_2,126.3,50611342.0,2.4954880666867123e-06,MGYA00721539,ERZ650888
Bacteroidaceae,hutH,999.6,97585673.69999999,1.0243306851300655e-05,MGYA00721550,ERZ650928
Porphyromonadaceae,hutH,980.3,97585673.69999999,1.004553191909767e-05,MGYA00721550,ERZ650928
Blautia,hutH,926.0,97585673.69999999,9.489097783417773e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,670.6,97585673.69999999,6.871910338617667e-06,MGYA00721550,ERZ650928
Bifidobacteriales,hutH,244.2,97585673.69999999,2.502416499687495e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,859.0,97585673.69999999,8.802521593904825e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,753.1,97585673.69999999,7.71732131824182e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,777.3,97585673.69999999,7.965308538931572e-06,MGYA00721550,ERZ650928
Bacteroidia,hutH,880.2,97585673.69999999,9.019766597153698e-06,MGYA00721550,ERZ650928
Rahnella,hutH,778.9,97585673.69999999,7.981704388233373e-06,MGYA00721550,ERZ650928
Rikenellaceae,hutH,426.4,97585673.69999999,4.369493838930171e-06,MGYA00721550,ERZ650928
Rikenellaceae,hutH,299.3,97585673.69999999,3.0670485600182934e-06,MGYA00721550,ERZ650928
Porphyromonadaceae,hutH,426.4,97585673.69999999,4.369493838930171e-06,MGYA00721550,ERZ650928
Bifidobacteriales,hutH,545.0,97585673.69999999,5.584836168426227e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,256.5,97585673.69999999,2.628459591195096e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,1042.3,97585673.69999999,1.068087107954249e-05,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,984.9,97585673.69999999,1.009266998584035e-05,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,985.7,97585673.69999999,1.0100867910491253e-05,MGYA00721550,ERZ650928
Porphyromonadaceae,hutH,933.3,97585673.69999999,9.563903845857243e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,986.5,97585673.69999999,1.0109065835142153e-05,MGYA00721550,ERZ650928
Bacteroidaceae,hutH1,259.6,97585673.69999999,2.6602265492173372e-06,MGYA00721550,ERZ650928
Rikenellaceae,hutH,434.9,97585673.69999999,4.456596788345993e-06,MGYA00721550,ERZ650928
Rikenellaceae,hutH,421.4,97585673.69999999,4.318256809862041e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,425.2,97585673.69999999,4.35719695195382e-06,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,139.8,97585673.69999999,1.4325873327449295e-06,MGYA00721550,ERZ650928
Oscillospiraceae,hutH,183.7,55890897.4,3.2867606094297563e-06,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,252.3,55890897.4,4.514151887638147e-06,MGYA00721588,ERZ650922
Eubacteriaceae,hutH,188.3,55890897.4,3.3690638146740513e-06,MGYA00721588,ERZ650922
Oscillospiraceae,hutH,86.3,55890897.4,1.544079698387523e-06,MGYA00721588,ERZ650922
Rikenellaceae,hutH,973.4,55890897.4,1.7416073909738295e-05,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,1043.9,55890897.4,1.867745999011281e-05,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,985.7,55890897.4,1.7636145523761087e-05,MGYA00721588,ERZ650922
Rikenellaceae,hutH,961.8,55890897.4,1.7208526696513553e-05,MGYA00721588,ERZ650922
Bacteroidia,hutH,962.6,55890897.4,1.7222840297425607e-05,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,989.2,55890897.4,1.769876752775131e-05,MGYA00721588,ERZ650922
Bacteria,hutH,830.9,55890897.4,1.4866463747279178e-05,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,982.2,55890897.4,1.757352351977086e-05,MGYA00721588,ERZ650922
Rikenellaceae,hutH,888.3,55890897.4,1.589346461271885e-05,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,983.4,55890897.4,1.7594993921138936e-05,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,988.0,55890897.4,1.767729712638323e-05,MGYA00721588,ERZ650922
Oscillospiraceae,hutH,179.5,55890897.4,3.211614204641488e-06,MGYA00721588,ERZ650922
Porphyromonadaceae,hutH,633.3,55890897.4,1.133100432200253e-05,MGYA00721588,ERZ650922
Oscillospiraceae,hutH,973.8,55890897.4,1.7423230710194322e-05,MGYA00721588,ERZ650922
Oscillospiraceae,hutH,334.0,55890897.4,5.975928380781376e-06,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,987.3,102933394.10000001,9.591639415298362e-06,MGYA00721607,ERZ650904
Bifidobacteriales,hutH,988.4,102933394.10000001,9.602325937486985e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,246.9,102933394.10000001,2.398638480337451e-06,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,844.7,102933394.10000001,8.20627753884587e-06,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,135.2,102933394.10000001,1.3134707271835698e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,829.3,102933394.10000001,8.056666228205137e-06,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,832.0,102933394.10000001,8.082896782668122e-06,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,728.0,102933394.10000001,7.0725346848346075e-06,MGYA00721607,ERZ650904
Synergistetes,hutH,673.7,102933394.10000001,6.545009089523455e-06,MGYA00721607,ERZ650904
Rikenellaceae,hutH,723.0,102933394.10000001,7.023959583977227e-06,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,153.7,102933394.10000001,1.4931986003558779e-06,MGYA00721607,ERZ650904
unclassified Burkholderiales,hutH,817.4,102933394.10000001,7.941057488164571e-06,MGYA00721607,ERZ650904
Betaproteobacteria,hutH,144.1,102933394.10000001,1.3999344067097073e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,155.6,102933394.10000001,1.5116571386816826e-06,MGYA00721607,ERZ650904
Rikenellaceae,hutH,977.6,102933394.10000001,9.497403719635045e-06,MGYA00721607,ERZ650904
Oscillospiraceae,hutH,1012.3,102933394.10000001,9.834514919585265e-06,MGYA00721607,ERZ650904
Oscillospiraceae,hutH,822.0,102933394.10000001,7.985746580953362e-06,MGYA00721607,ERZ650904
Bacteroidia,hutH,959.5,102933394.10000001,9.321561854531327e-06,MGYA00721607,ERZ650904
Sutterellaceae,hutH,892.9,102933394.10000001,8.674541511111017e-06,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,948.0,102933394.10000001,9.209839122559351e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,997.3,102933394.10000001,9.688789617013123e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,984.2,102933394.10000001,9.561522852766788e-06,MGYA00721607,ERZ650904
Clostridiaceae,hutH,365.5,102933394.10000001,3.550839872674518e-06,MGYA00721607,ERZ650904
Rikenellaceae,hutH,961.8,102933394.10000001,9.34390640092572e-06,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,984.2,102933394.10000001,9.561522852766788e-06,MGYA00721607,ERZ650904
Betaproteobacteria,hutH,658.3,102933394.10000001,6.395397778882722e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,984.2,102933394.10000001,9.561522852766788e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,986.9,102933394.10000001,9.587753407229771e-06,MGYA00721607,ERZ650904
Bacillus,hutH,509.2,102933394.10000001,4.9468882713156345e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,668.7,102933394.10000001,6.496433988666075e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,615.5,102933394.10000001,5.979594915543545e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,228.8,102933394.10000001,2.222796615233734e-06,MGYA00721607,ERZ650904
Lachnoclostridium,hutH,481.5,102933394.10000001,4.677782212565747e-06,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,448.7,102933394.10000001,4.35912955094133e-06,MGYA00721607,ERZ650904
Rikenellaceae,hutH,77.8,102933394.10000001,7.558285693408413e-07,MGYA00721607,ERZ650904
Bacteria,hutH,367.9,102933394.10000001,3.5741559210860603e-06,MGYA00721607,ERZ650904
unclassified Burkholderiales,hutH,172.9,102933394.10000001,1.6797269876482192e-06,MGYA00721607,ERZ650904
Clostridia,hutH,292.4,102933394.10000001,2.840671898139614e-06,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,620.5,50848547.5,1.2202905107564773e-05,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,1040.8,50848547.5,2.046862793868399e-05,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,979.5,50848547.5,1.9263087111780332e-05,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,984.9,50848547.5,1.936928483552062e-05,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,323.6,50848547.5,6.363996926362548e-06,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,987.6,50848547.5,1.9422383697390766e-05,MGYA00721626,ERZ650900
Sutterellaceae,hutH,462.2,50848547.5,9.089738502363318e-06,MGYA00721626,ERZ650900
Blautia,hutH,926.4,50848547.5,1.8218809495000817e-05,MGYA00721626,ERZ650900
Lachnoclostridium,hutH,869.8,50848547.5,1.7105700020241483e-05,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,436.4,102591349.10000001,4.253769970162133e-06,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,468.0,102591349.10000001,4.561788143986889e-06,MGYA00721633,ERZ650897
Porphyromonadaceae,hutH,981.5,102591349.10000001,9.56708346863917e-06,MGYA00721633,ERZ650897
Oscillospiraceae,hutH,187.6,102591349.10000001,1.8286142218203853e-06,MGYA00721633,ERZ650897
Oscillospiraceae,hutH,594.7,102591349.10000001,5.796785062455134e-06,MGYA00721633,ERZ650897
Clostridiaceae,hutH,578.9,102591349.10000001,5.642775975542756e-06,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,183.7,102591349.10000001,1.7905993206204943e-06,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,922.2,102591349.10000001,8.989062022189549e-06,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,73.9,102591349.10000001,7.203336406851092e-07,MGYA00721633,ERZ650897
Bacteroidia,hutH,959.5,102591349.10000001,9.352640436229529e-06,MGYA00721633,ERZ650897
Rikenellaceae,hutH,961.8,102591349.10000001,9.375059480526901e-06,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,984.2,102591349.10000001,9.593401477162172e-06,MGYA00721633,ERZ650897
unclassified Burkholderiales,hutH,85.9,102591349.10000001,8.373025674540037e-07,MGYA00721633,ERZ650897
unclassified Burkholderiales,hutH,969.5,102591349.10000001,9.450114541870274e-06,MGYA00721633,ERZ650897
Bacteria,hutH,825.5,102591349.10000001,8.04648742064354e-06,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,986.1,102591349.10000001,9.611921557233912e-06,MGYA00721633,ERZ650897
Oscillospiraceae,hutH,1011.1,102591349.10000001,9.855606821335776e-06,MGYA00721633,ERZ650897
