bacteria,huth,analysis,sample
Bacteroidia,hutH,MGYA00721550,ERZ650928
Rahnella,hutH,MGYA00721550,ERZ650928
Rikenellaceae,hutH,MGYA00721550,ERZ650928
Rikenellaceae,hutH,MGYA00721550,ERZ650928
Porphyromonadaceae,hutH,MGYA00721550,ERZ650928
Bifidobacteriales,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Porphyromonadaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH1,MGYA00721550,ERZ650928
Rikenellaceae,hutH,MGYA00721550,ERZ650928
Rikenellaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Bacteroidaceae,hutH,MGYA00721550,ERZ650928
Oscillospiraceae,hutH,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,MGYA00721588,ERZ650922
Eubacteriaceae,hutH,MGYA00721588,ERZ650922
Oscillospiraceae,hutH,MGYA00721588,ERZ650922
Rikenellaceae,hutH,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,MGYA00721588,ERZ650922
Rikenellaceae,hutH,MGYA00721588,ERZ650922
Bacteroidia,hutH,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,MGYA00721588,ERZ650922
Bacteria,hutH,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,MGYA00721588,ERZ650922
Rikenellaceae,hutH,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,MGYA00721588,ERZ650922
Oscillospiraceae,hutH,MGYA00721588,ERZ650922
Porphyromonadaceae,hutH,MGYA00721588,ERZ650922
Oscillospiraceae,hutH,MGYA00721588,ERZ650922
Oscillospiraceae,hutH,MGYA00721588,ERZ650922
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Bifidobacteriales,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,MGYA00721607,ERZ650904
Synergistetes,hutH,MGYA00721607,ERZ650904
Rikenellaceae,hutH,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,MGYA00721607,ERZ650904
unclassified Burkholderiales,hutH,MGYA00721607,ERZ650904
Betaproteobacteria,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Rikenellaceae,hutH,MGYA00721607,ERZ650904
Oscillospiraceae,hutH,MGYA00721607,ERZ650904
Oscillospiraceae,hutH,MGYA00721607,ERZ650904
Bacteroidia,hutH,MGYA00721607,ERZ650904
Sutterellaceae,hutH,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Clostridiaceae,hutH,MGYA00721607,ERZ650904
Rikenellaceae,hutH,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,MGYA00721607,ERZ650904
Betaproteobacteria,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Bacillus,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Lachnoclostridium,hutH,MGYA00721607,ERZ650904
Bacteroidaceae,hutH,MGYA00721607,ERZ650904
Rikenellaceae,hutH,MGYA00721607,ERZ650904
Bacteria,hutH,MGYA00721607,ERZ650904
unclassified Burkholderiales,hutH,MGYA00721607,ERZ650904
Clostridia,hutH,MGYA00721607,ERZ650904
Porphyromonadaceae,hutH,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,MGYA00721626,ERZ650900
Sutterellaceae,hutH,MGYA00721626,ERZ650900
Blautia,hutH,MGYA00721626,ERZ650900
Lachnoclostridium,hutH,MGYA00721626,ERZ650900
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Porphyromonadaceae,hutH,MGYA00721633,ERZ650897
Oscillospiraceae,hutH,MGYA00721633,ERZ650897
Oscillospiraceae,hutH,MGYA00721633,ERZ650897
Clostridiaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Bacteroidia,hutH,MGYA00721633,ERZ650897
Rikenellaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
unclassified Burkholderiales,hutH,MGYA00721633,ERZ650897
unclassified Burkholderiales,hutH,MGYA00721633,ERZ650897
Bacteria,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Oscillospiraceae,hutH,MGYA00721633,ERZ650897
Rikenellaceae,hutH,MGYA00721633,ERZ650897
Porphyromonadaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Betaproteobacteria,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Firmicutes,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Porphyromonadaceae,hutH,MGYA00721633,ERZ650897
Firmicutes,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Rikenellaceae,hutH,MGYA00721633,ERZ650897
Blautia,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721633,ERZ650897
Blautia,hutH,MGYA00721633,ERZ650897
Lachnoclostridium,hutH,MGYA00721633,ERZ650897
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Rikenellaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Betaproteobacteria,hutH,MGYA00721643,ERZ650895
Rikenellaceae,hutH,MGYA00721643,ERZ650895
Porphyromonadaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidia,hutH,MGYA00721643,ERZ650895
Cytophagia,hutH,MGYA00721643,ERZ650895
Oscillospiraceae,hutH,MGYA00721643,ERZ650895
Rikenellaceae,hutH,MGYA00721643,ERZ650895
Porphyromonadaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH1,MGYA00721643,ERZ650895
Rikenellaceae,hutH,MGYA00721643,ERZ650895
unclassified Burkholderiales,hutH,MGYA00721643,ERZ650895
Bacteroidaceae,hutH,MGYA00721657,ERZ650885
Porphyromonadaceae,hutH,MGYA00721657,ERZ650885
Porphyromonadaceae,hutH,MGYA00721657,ERZ650885
Rikenellaceae,hutH,MGYA00721657,ERZ650885
Bacteroidia,hutH,MGYA00721657,ERZ650885
Porphyromonadaceae,hutH,MGYA00721657,ERZ650885
Porphyromonadaceae,hutH,MGYA00721657,ERZ650885
Lachnoclostridium,hutH,MGYA00721657,ERZ650885
Bacteroidaceae,hutH,MGYA00721657,ERZ650885
Bacteria,hutH,MGYA00721657,ERZ650885
Rikenellaceae,hutH,MGYA00721657,ERZ650885
unclassified Burkholderiales,hutH,MGYA00721657,ERZ650885
Betaproteobacteria,hutH,MGYA00721657,ERZ650885
Bacteroidaceae,hutH,MGYA00721657,ERZ650885
Bacteroidaceae,hutH,MGYA00721657,ERZ650885
Bacteroidaceae,hutH,MGYA00721657,ERZ650885
Porphyromonadaceae,hutH,MGYA00721657,ERZ650885
Bacteroidaceae,hutH,MGYA00721657,ERZ650885
Porphyromonadaceae,hutH,MGYA00721657,ERZ650885
Porphyromonadaceae,hutH,MGYA00721657,ERZ650885
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Porphyromonadaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Enterobacter,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Rahnella,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721661,ERZ650884
Porphyromonadaceae,hutH,MGYA00721661,ERZ650884
Fusobacteria,hutH,MGYA00721661,ERZ650884
Porphyromonadaceae,hutH,MGYA00721661,ERZ650884
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Sutterellaceae,hutH,MGYA00721678,ERZ650882
Bacteria,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Porphyromonadaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH1,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
unclassified Burkholderiales,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Betaproteobacteria,hutH,MGYA00721678,ERZ650882
Bacteroidia,hutH,MGYA00721678,ERZ650882
Rikenellaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Porphyromonadaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721678,ERZ650882
Porphyromonadaceae,hutH,MGYA00721678,ERZ650882
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Lachnoclostridium,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Rikenellaceae,hutH,MGYA00721692,ERZ650878
Porphyromonadaceae,hutH,MGYA00721692,ERZ650878
Porphyromonadaceae,hutH,MGYA00721692,ERZ650878
Porphyromonadaceae,hutH,MGYA00721692,ERZ650878
unclassified Burkholderiales,hutH,MGYA00721692,ERZ650878
Bacteria,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Betaproteobacteria,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Rikenellaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Bacteroidaceae,hutH,MGYA00721692,ERZ650878
Paenibacillaceae,hutH,MGYA00721706,ERZ650874
Eubacteriaceae,hutH,MGYA00721706,ERZ650874
Firmicutes,hutH,MGYA00721706,ERZ650874
Firmicutes,hutH,MGYA00721706,ERZ650874
Peptostreptococcaceae,hutH,MGYA00721706,ERZ650874
Porphyromonadaceae,hutH,MGYA00721706,ERZ650874
unclassified Burkholderiales,hutH,MGYA00721706,ERZ650874
Clostridiaceae,hutH,MGYA00721706,ERZ650874
Bacteroidia,hutH,MGYA00721706,ERZ650874
Bacteria,hutH,MGYA00721706,ERZ650874
unclassified Burkholderiales,hutH,MGYA00721706,ERZ650874
Porphyromonadaceae,hutH,MGYA00721706,ERZ650874
Firmicutes,hutH,MGYA00721706,ERZ650874
Bacteroidia,hutH,MGYA00721706,ERZ650874
Bacteria,hutH,MGYA00721706,ERZ650874
unclassified Burkholderiales,hutH,MGYA00721706,ERZ650874
Rikenellaceae,hutH,MGYA00721706,ERZ650874
Bacteroidia,hutH,MGYA00721706,ERZ650874
Rikenellaceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Oscillospiraceae,hutH,MGYA00721706,ERZ650874
Rikenellaceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Clostridiaceae,hutH,MGYA00721706,ERZ650874
Porphyromonadaceae,hutH,MGYA00721706,ERZ650874
Oscillospiraceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Bacteroidaceae,hutH,MGYA00721706,ERZ650874
Ruminococcaceae,hutH,MGYA00721706,ERZ650874
Oscillospiraceae,hutH,MGYA00721706,ERZ650874
Porphyromonadaceae,hutH,MGYA00721706,ERZ650874
Lachnoclostridium,hutH,MGYA00721718,ERZ650871
Clostridia,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Clostridia,hutH_2,MGYA00721718,ERZ650871
Synergistetes,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Bacteroidia,hutH,MGYA00721718,ERZ650871
Synergistetes,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Synergistetes,hutH1,MGYA00721718,ERZ650871
Synergistetes,hutH1,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Synergistetes,hutH,MGYA00721718,ERZ650871
Gammaproteobacteria,hutH,MGYA00721718,ERZ650871
Synergistetes,hutH1,MGYA00721718,ERZ650871
Synergistetes,hutH,MGYA00721718,ERZ650871
Synergistetes,hutH,MGYA00721718,ERZ650871
Bacteroidia,hutH,MGYA00721718,ERZ650871
Porphyromonadaceae,hutH,MGYA00721718,ERZ650871
Porphyromonadaceae,hutH,MGYA00721718,ERZ650871
Synergistetes,hutH1,MGYA00721718,ERZ650871
Rikenellaceae,hutH,MGYA00721718,ERZ650871
Porphyromonadaceae,hutH,MGYA00721718,ERZ650871
Escherichia,hutH,MGYA00721718,ERZ650871
Synergistetes,hutH1,MGYA00721718,ERZ650871
Bacteroidia,hutH,MGYA00721718,ERZ650871
Rikenellaceae,hutH,MGYA00721718,ERZ650871
Enterobacter,hutH,MGYA00721718,ERZ650871
Porphyromonadaceae,hutH,MGYA00721718,ERZ650871
Bacteroidia,hutH,MGYA00721718,ERZ650871
Rikenellaceae,hutH,MGYA00721718,ERZ650871
Bacteroidia,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Rikenellaceae,hutH,MGYA00721718,ERZ650871
Oscillospiraceae,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Porphyromonadaceae,hutH,MGYA00721718,ERZ650871
Clostridia,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH1,MGYA00721718,ERZ650871
Lachnoclostridium,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Lachnoclostridium,hutH,MGYA00721718,ERZ650871
Bacteroidaceae,hutH,MGYA00721718,ERZ650871
Porphyromonadaceae,hutH,MGYA00721718,ERZ650871
Gammaproteobacteria,hutH1,MGYA00721718,ERZ650871
Synergistetes,hutH,MGYA00721718,ERZ650871
Synergistetes,hutH1,MGYA00721718,ERZ650871
Bacteria,hutH,MGYA00721718,ERZ650871
Rikenellaceae,hutH,MGYA00721736,ERZ650865
Bacteroidaceae,hutH,MGYA00721736,ERZ650865
Bacteria,hutH,MGYA00721736,ERZ650865
Bacteroidaceae,hutH,MGYA00721736,ERZ650865
Oscillospiraceae,hutH,MGYA00721736,ERZ650865
